SPLIT	PRB	DR	DELAY	CU_CAP	DU_CAP
SPLIT1	6	10.5	10000.0	2.0266666666666664	28.37333333333333
SPLIT4	6	10.5	100	6.08	24.32
SPLIT6	6	13.579999999999998	250	10.133333333333333	20.266666666666666
SPLIT7_3	6	840.74	250	18.24	12.16
SPLIT1	50	75.0	10000.0	16.888888888888886	236.44444444444443
SPLIT4	50	75.0	100	50.666666666666664	202.66666666666666
SPLIT6	50	97.0	250	84.44444444444443	168.88888888888886
SPLIT7_3	50	1091.0	250	151.99999999999997	101.33333333333333
SPLIT1	100	150.0	10000.0	33.77777777777777	472.88888888888886
SPLIT4	100	150.0	100	101.33333333333333	405.3333333333333
SPLIT6	100	194.0	250	168.88888888888886	337.7777777777777
SPLIT7_3	100	1382.0	250	303.99999999999994	202.66666666666666
